index,x,y,speed,timestamp,interpolation_error,x_GPS,y_GPS
1038,130694.5164924453,6423899.705894626,1.2459900166982827,2021-03-07 11:57:00,17.878604210922152,130710.94647243145,6423892.656054473
1039,130677.52871678404,6423898.585828516,0.6879735771980966,2021-03-07 11:58:00,21.39749906796312,130660.6187936517,6423885.474479767
1040,130660.5409411228,6423897.465762405,0.6879735771980966,2021-03-07 11:58:00,11.991535361435131,130660.6187936517,6423885.474479767
1041,130643.55316546155,6423896.345696295,0.6879735771980966,2021-03-07 11:58:00,20.234105226709243,130660.6187936517,6423885.474479767
1042,130626.16506855846,6423871.572439246,0.4873750388233462,2021-03-07 11:59:00,17.20602184999254,130640.01264477652,6423861.36010255
1043,130631.01094613291,6423859.888593278,0.4873750388233462,2021-03-07 11:59:00,9.121179639094182,130640.01264477652,6423861.36010255
1044,130635.85682370735,6423848.204747311,0.4873750388233462,2021-03-07 11:59:00,13.796166867315613,130640.01264477652,6423861.36010255
1045,130640.7027012818,6423836.520901343,0.6030405556186332,2021-03-07 12:00:00,1.9843984247815765,130641.28821717565,6423834.624850646
1046,130650.78917464968,6423826.1767368,0.6030405556186332,2021-03-07 12:00:00,12.713725672378226,130641.28821717565,6423834.624850646
1047,130660.87564801754,6423815.832572256,0.6936753941194389,2021-03-07 12:01:00,18.457425497535223,130674.46935569125,6423803.347073961
1048,130670.96212138541,6423805.488407713,0.6936753941194389,2021-03-07 12:01:00,4.109258170870205,130674.46935569125,6423803.347073961
1049,130682.4383656061,6423799.366497511,0.6936753941194389,2021-03-07 12:01:00,8.90786775256572,130674.46935569125,6423803.347073961
1050,130693.91460982678,6423793.24458731,0.4133760768077764,2021-03-07 12:02:00,16.21151506864902,130709.92693290258,6423790.711065939
1051,130705.39085404747,6423787.122677107,0.4133760768077764,2021-03-07 12:02:00,5.783817578800973,130709.92693290258,6423790.711065939
1052,130725.73946397696,6423772.921916755,0.003299035678322661,2021-03-07 12:11:00,5.968605012619545,130727.92717059038,6423778.475130741
1053,130735.39172413359,6423765.73723105,0.003299035678322661,2021-03-07 12:11:00,14.763930646476624,130727.92717059038,6423778.475130741
1054,130735.83627976685,6423764.639136765,0.003299035678322661,2021-03-07 12:11:00,15.937024102782564,130727.92717059038,6423778.475130741
1055,130735.83627976685,6423764.639136765,0.003299035678322661,2021-03-07 12:11:00,15.937024102782564,130727.92717059038,6423778.475130741
1056,130735.83627976685,6423764.639136765,0.003299035678322661,2021-03-07 12:11:00,15.937024102782564,130727.92717059038,6423778.475130741
1057,130735.83627976685,6423764.639136765,0.003299035678322661,2021-03-07 12:11:00,15.937024102782564,130727.92717059038,6423778.475130741
1058,130735.83627976685,6423764.639136765,0.003299035678322661,2021-03-07 12:11:00,15.937024102782564,130727.92717059038,6423778.475130741
1059,130735.83627976685,6423764.639136765,0.003299035678322661,2021-03-07 12:11:00,15.937024102782564,130727.92717059038,6423778.475130741
1060,130713.16394247052,6423753.109167968,0.34718094809322775,2021-03-07 12:21:00,11.640415477163144,130701.87355641767,6423755.942267906
1061,130699.6580769259,6423740.755663671,0.5619886425542281,2021-03-07 12:22:00,12.046475169012126,130697.36562959333,6423728.92932657
1062,130696.09566021702,6423732.157629038,0.5619886425542281,2021-03-07 12:22:00,3.4691150233441803,130697.36562959333,6423728.92932657
1063,130684.15104751577,6423717.992282471,0.5619886425542281,2021-03-07 12:22:00,17.15354520521968,130697.36562959333,6423728.92932657
1064,130674.94469108821,6423705.708328597,0.5619886425542281,2021-03-07 12:22:00,32.27868073954233,130697.36562959333,6423728.92932657
1065,130674.52741332974,6423695.6242260365,0.5619886425542281,2021-03-07 12:22:00,40.38333621220583,130697.36562959333,6423728.92932657
1066,130679.36539190575,6423691.600530154,0.856318082674512,2021-03-07 12:23:00,35.77223405518201,130715.10937100314,6423693.022039065
1067,130676.78905456861,6423689.718099167,0.856318082674512,2021-03-07 12:23:00,38.462483935590726,130715.10937100314,6423693.022039065
1068,130675.7558655703,6423690.753435896,0.856318082674512,2021-03-07 12:23:00,39.418840041184396,130715.10937100314,6423693.022039065
1069,130679.24501116932,6423686.4826826705,0.856318082674512,2021-03-07 12:23:00,36.455664694893855,130715.10937100314,6423693.022039065
1070,130689.28105733104,6423668.59315549,0.856318082674512,2021-03-07 12:23:00,35.55097945008779,130715.10937100314,6423693.022039065
1071,130700.0650579015,6423659.957414506,0.856318082674512,2021-03-07 12:23:00,36.32630939053087,130715.10937100314,6423693.022039065
1072,130710.84905847195,6423651.321673523,0.856318082674512,2021-03-07 12:23:00,41.917427750710324,130715.10937100314,6423693.022039065
1073,130721.63305904242,6423642.6859325385,1.2460944525740523,2021-03-07 12:24:00,36.7564465680895,130758.09060206439,6423647.363957882
1074,130741.49208904736,6423629.179661889,1.2460944525740523,2021-03-07 12:24:00,24.620707852302,130758.09060206439,6423647.363957882
1075,130761.3511190523,6423615.673391238,1.2460944525740523,2021-03-07 12:24:00,31.857855942464976,130758.09060206439,6423647.363957882
1076,130781.21014905724,6423602.167120588,1.655956922613252,2021-03-07 12:25:00,44.86570299694977,130824.88276365565,6423591.889278424
1077,130808.51338478563,6423584.620005085,1.655956922613252,2021-03-07 12:25:00,17.91085981925398,130824.88276365565,6423591.889278424
1078,130835.81662051402,6423567.072889583,1.655956922613252,2021-03-07 12:25:00,27.118303429534546,130824.88276365565,6423591.889278424
1079,130863.11985624241,6423549.52577408,1.655956922613252,2021-03-07 12:25:00,57.06786967956776,130824.88276365565,6423591.889278424
1080,130894.54883365381,6423528.355161748,1.9028880209374301,2021-03-07 12:26:00,21.52421758865773,130916.02993879053,6423526.993521227
1081,130925.9778110652,6423507.1845494155,1.9028880209374301,2021-03-07 12:26:00,22.166540709041158,130916.02993879053,6423526.993521227
1082,130957.4067884766,6423486.013937083,1.9028880209374301,2021-03-07 12:26:00,58.23547034684067,130916.02993879053,6423526.993521227
1083,130984.33845531751,6423461.373722073,1.8614266111628528,2021-03-07 12:27:00,22.607812100594735,131004.63982923643,6423451.425486803
1084,131011.27012215841,6423436.733507061,1.8614266111628528,2021-03-07 12:27:00,16.118779512145124,131004.63982923643,6423451.425486803
1085,131038.20178899933,6423412.093292051,1.8614266111628528,2021-03-07 12:27:00,51.705190137357725,131004.63982923643,6423451.425486803
1086,131053.7753911685,6423384.137259154,1.7573971865275824,2021-03-07 12:28:00,23.76851579875496,131065.0423329942,6423363.208848675
1087,131069.34899333765,6423356.181226256,1.7573971865275824,2021-03-07 12:28:00,8.242256982804873,131065.0423329942,6423363.208848675
1088,131084.92259550683,6423328.225193359,1.7573971865275824,2021-03-07 12:28:00,40.23780531822415,131065.0423329942,6423363.208848675
1089,131088.72984957197,6423295.657764283,1.7360657323815771,2021-03-07 12:29:00,33.58070904379437,131089.19829177673,6423262.080322722
1090,131092.5371036371,6423263.090335206,1.7360657323815771,2021-03-07 12:29:00,3.4882359233631917,131089.19829177673,6423262.080322722
1091,131096.34435770224,6423230.52290613,1.7360657323815771,2021-03-07 12:29:00,32.35640276915412,131089.19829177673,6423262.080322722
1092,131086.17310175096,6423199.4709172435,1.683717341848065,2021-03-07 12:30:00,42.2933158282383,131074.88227335407,6423158.712583643
1093,131076.00184579965,6423168.418928356,1.683717341848065,2021-03-07 12:30:00,9.770699572664485,131074.88227335407,6423158.712583643
1094,131065.83058984837,6423137.366939469,1.683717341848065,2021-03-07 12:30:00,23.185545054982516,131074.88227335407,6423158.712583643
1095,131042.5871865598,6423115.801850194,1.5572959308179364,2021-03-07 12:31:00,43.995566037560245,131017.1311790148,6423079.918685467
1096,131019.34378327125,6423094.236760919,1.5572959308179364,2021-03-07 12:31:00,14.48802616800567,131017.1311790148,6423079.918685467
1097,130996.10037998269,6423072.671671644,1.5572959308179364,2021-03-07 12:31:00,22.2444086745835,131017.1311790148,6423079.918685467
1098,130967.39845279921,6423063.162860012,1.5240473020378138,2021-03-07 12:32:00,38.033002115998165,130937.64861288395,6423039.4677914325
1099,130938.69652561573,6423053.65404838,1.5240473020378138,2021-03-07 12:32:00,14.224907988666969,130937.64861288395,6423039.4677914325
1100,130909.99459843225,6423044.145236748,1.5240473020378138,2021-03-07 12:32:00,28.046800351844624,130937.64861288395,6423039.4677914325
1101,130876.76572363608,6423046.275376965,1.7517737074944242,2021-03-07 12:33:00,33.669513188570264,130843.94955571105,6423038.743097027
1102,130843.5368488399,6423048.405517182,1.7517737074944242,2021-03-07 12:33:00,9.671230026347887,130843.94955571105,6423038.743097027
